Description,Total_Quantity_Sold,Total_Revenue
WORLD WAR 2 GLIDERS ASSTD DESIGNS,107860,24552.56
WHITE HANGING HEART T-LIGHT HOLDER,92936,250172.02
ASSORTED COLOUR BIRD ORNAMENT,79052,125695.88
MEDIUM CERAMIC TOP STORAGE JAR,77753,81243.22
JUMBO BAG RED RETROSPOT,75179,135844.35
BROCADE RING PURSE ,70820,14710.56
PACK OF 60 PINK PAISLEY CAKE CASES,54906,26547.45
60 TEATIME FAIRY CAKE CASES,53237,25993.17
PACK OF 72 RETROSPOT CAKE CASES,45860,22073.51
PACK OF 72 RETRO SPOT CAKE CASES,45129,21838.23
